id,url,label,date,authority_uri,note,text_units
stampaStatuti,https://statutiascoli.it/calendario.html?id=stampaStatuti,Stampa degli Statuti del 1496,1496-04-09,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
festaCirconcisione,https://statutiascoli.it/calendario.html?id=festaCirconcisione,Circoncisione di Gesù Cristo,--01-01,https://www.wikidata.org/wiki/Q13510036,,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaEpifania,https://statutiascoli.it/calendario.html?id=festaEpifania,Epifania,--01-06,https://www.wikidata.org/wiki/Q132001,,id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2 | id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3 | id=statPop_libro2_rubrica3; url=https://statutiascoli.it/statuti.html?id=2_2_4
festaSantaBrigida,https://statutiascoli.it/calendario.html?id=festaSantaBrigida,Santa Brigida,--02-01,https://www.wikidata.org/wiki/Q80979,"Badessa di Kildare in Irlanda, †523",id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
festaSanBiagio,https://statutiascoli.it/calendario.html?id=festaSanBiagio,San Biagio,--02-03,https://www.wikidata.org/wiki/Q151967,"Vescovo di Sebastopoli e martire, †316",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSanTommasoAquino,https://statutiascoli.it/calendario.html?id=festaSanTommasoAquino,Sant Tommaso d'Aquino,--03-07,https://www.wikidata.org/wiki/Q9438,"Frate domenicano e dottore della Chiesa, †1247",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41
festaSantAgata,https://statutiascoli.it/calendario.html?id=festaSantAgata,Sant'Agata,--02-05,https://www.wikidata.org/wiki/Q200895,"Vergine e martire, †251",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSanBenedetto,https://statutiascoli.it/calendario.html?id=festaSanBenedetto,San Benedetto,--03-21,https://www.wikidata.org/wiki/Q44265,"Benedetto da Norcia, fondatore dell'ordine monastico d'occidente, †543",id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSanGiorgio,https://statutiascoli.it/calendario.html?id=festaSanGiorgio,San Giorgio,--04-23,https://www.wikidata.org/wiki/Q48438,"Guerriero e martire a Lydda in Palestina, †303",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
festaSantAngelo,https://statutiascoli.it/calendario.html?id=festaSantAngelo,Sant'Angelo,--05-05,https://www.wikidata.org/wiki/Q537686,"Sacerdote carmelitano e martire, †1220",id=statCom_libro2_rubrica40; url=https://statutiascoli.it/statuti.html?id=1_2_41 | id=statPop_libro2_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_2_2
