id,url,name,occupations,residences,authority_uri,note,text_units
Iohanni_deNello,https://statutiascoli.it/persone.html?id=Iohanni_deNello,Iohanni de Nello,doctore de lege,,,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Migno_deNicola,https://statutiascoli.it/persone.html?id=Migno_deNicola,Migno de Nicola,,label=quartero Sancto Migno; place_id=quartiereSantEmidio; url=https://statutiascoli.it/citt%C3%A0.html?id=quartiereSantEmidio,,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Iacobo_deBartolomeo,https://statutiascoli.it/persone.html?id=Iacobo_deBartolomeo,Iacobo de missere Bartolomeo,judice d'Ascoli,,,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Cola_deNammiero,https://statutiascoli.it/persone.html?id=Cola_deNammiero,Cola de Nammiero,,label=quartero de Sancta Maria inter vigna; place_id=quartiereSantaMariaInterVigna; url=https://statutiascoli.it/citt%C3%A0.html?id=quartiereSantaMariaInterVigna,,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Georgio_dePasquale,https://statutiascoli.it/persone.html?id=Georgio_dePasquale,Georgio de Pasquale,judice,,,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Vanni_deMartello,https://statutiascoli.it/persone.html?id=Vanni_deMartello,Vanni de Martello,notaro,label=quartero de Sancto Venantio; place_id=quartiereSanVenanzio; url=https://statutiascoli.it/citt%C3%A0.html?id=quartiereSanVenanzio,,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Ciuffutu_deNuccio,https://statutiascoli.it/persone.html?id=Ciuffutu_deNuccio,Ciuffutu de missere Nuccio,doctore de lege,label=quartiere San Giacomo; place_id=quartiereSanGiacomo; url=https://statutiascoli.it/citt%C3%A0.html?id=quartiereSanGiacomo,,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Andriuccio_dePetro,https://statutiascoli.it/persone.html?id=Andriuccio_dePetro,Andriuccio de Petro (da Monte Moro),notario de li signuri antiani,label=quartero de Sancto Iacobo; place_id=quartiereSanGiacomo; url=https://statutiascoli.it/citt%C3%A0.html?id=quartiereSanGiacomo,,,id=statPop_libro1_rubrica1; url=https://statutiascoli.it/statuti.html?id=2_1_2 | id=statPop_libro1_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_1_3 | id=statPop_libro1_rubrica94; url=https://statutiascoli.it/statuti.html?id=2_1_95 | id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Nicolo_deIohanni,https://statutiascoli.it/persone.html?id=Nicolo_deIohanni,Nicolo de Iohanni (da Perusia),notaro de la reformatione | cancilleri,,,,id=statPop_libro1_rubrica58; url=https://statutiascoli.it/statuti.html?id=2_1_59 | id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
PapaGregorioXI,https://statutiascoli.it/persone.html?id=PapaGregorioXI,Pierre Roger (Gregorio XI),papa,,https://www.wikidata.org/wiki/Q169594,,id=statutiAscoli_intro; url=https://statutiascoli.it/statuti.html?id=0
Muctio_deJohanni_deBernardo,https://statutiascoli.it/persone.html?id=Muctio_deJohanni_deBernardo,Muctio de Johanni de Bernardo,,,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
Pyrromi_deAmelia,https://statutiascoli.it/persone.html?id=Pyrromi_deAmelia,Pyrromi de Amelia,,,,,id=statPop_libro2_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_2_3
Massuccio_deJacobo_dePalummero,https://statutiascoli.it/persone.html?id=Massuccio_deJacobo_dePalummero,Massuccio de Jacobo de Palummero,,,,,id=statPop_libro2_rubrica11; url=https://statutiascoli.it/statuti.html?id=2_2_12
Leonardo_deVerita,https://statutiascoli.it/persone.html?id=Leonardo_deVerita,Leonardo de Verità,,,,,id=statPop_libro2_rubrica24; url=https://statutiascoli.it/statuti.html?id=2_2_25
Joanni_daTheramo,https://statutiascoli.it/persone.html?id=Joanni_daTheramo,Joanni (da Theramo),,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
Corradino_dePasqualuccio,https://statutiascoli.it/persone.html?id=Corradino_dePasqualuccio,Corradino de Pasqualuccio,,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
Barnabeo_deMatheo,https://statutiascoli.it/persone.html?id=Barnabeo_deMatheo,Barnabeo de Matheo,,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
Morano_deMoranis,https://statutiascoli.it/persone.html?id=Morano_deMoranis,Morano de Moranis,,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
JoanniAntrea_deSanctucio,https://statutiascoli.it/persone.html?id=JoanniAntrea_deSanctucio,Joanni Antrea de Sanctucio,,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
Perisancti_deAcquistuccio,https://statutiascoli.it/persone.html?id=Perisancti_deAcquistuccio,Perisancti de Acquistuccio,,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
AntreaMatheo_deVanni,https://statutiascoli.it/persone.html?id=AntreaMatheo_deVanni,Antrea Matheo de Vanni,,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
Luca_deJanni_dePelliccionis,https://statutiascoli.it/persone.html?id=Luca_deJanni_dePelliccionis,Luca de ser Janni de Pelliccionis,,,,,id=StatutiAscoli_conclusione; url=https://statutiascoli.it/statuti.html?id=3
