id,url,name,type,authority_uri,note,text_units
Raiano,https://statutiascoli.it/territorio.html?id=Raiano,Raiano,comune,https://www.wikidata.org/wiki/Q50131,,id=statPop_libro1_rubrica15; url=https://statutiascoli.it/statuti.html?id=2_1_16
contradaPalaretta,https://statutiascoli.it/territorio.html?id=contradaPalaretta,contrada de Palarecta,,,,id=statPop_libro3_rubrica75; url=https://statutiascoli.it/statuti.html?id=2_3_76
Parergata,https://statutiascoli.it/territorio.html?id=Parergata,Parergata,,,,id=statPop_libro1_rubrica15; url=https://statutiascoli.it/statuti.html?id=2_1_16
Amatrice,https://statutiascoli.it/territorio.html?id=Amatrice,terra de l'Amatrice,,https://www.wikidata.org/wiki/Q223427,,id=statPop_libro1_rubrica57; url=https://statutiascoli.it/statuti.html?id=2_1_58 | id=statPop_libro2_rubrica12; url=https://statutiascoli.it/statuti.html?id=2_2_13 | id=statPop_libro3_rubrica34; url=https://statutiascoli.it/statuti.html?id=2_3_35
Arquata,https://statutiascoli.it/territorio.html?id=Arquata,terra de Arquata,,https://www.wikidata.org/wiki/Q56031,,id=statPop_libro2_rubrica12; url=https://statutiascoli.it/statuti.html?id=2_2_13
monteSantoMariIncallo,https://statutiascoli.it/territorio.html?id=monteSantoMariIncallo,terra de monte Sancto Mari Incallo,,,,id=statPop_libro2_rubrica12; url=https://statutiascoli.it/statuti.html?id=2_2_13
Montemonaco,https://statutiascoli.it/territorio.html?id=Montemonaco,terra de monte Lumonacho,,https://www.wikidata.org/wiki/Q56082,,id=statPop_libro2_rubrica12; url=https://statutiascoli.it/statuti.html?id=2_2_13
Mozzano,https://statutiascoli.it/territorio.html?id=Mozzano,Moççano,,https://www.wikidata.org/wiki/Q2401022,,id=statPop_libro3_rubrica45; url=https://statutiascoli.it/statuti.html?id=2_3_46
quartiereSantEmidio,https://statutiascoli.it/citt%C3%A0.html?id=quartiereSantEmidio,quarterio de Sancto Emidio,quartiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16 | id=statPop_libro1_rubrica2; url=https://statutiascoli.it/statuti.html?id=2_1_3
quartiereSantaMariaInterVigna,https://statutiascoli.it/citt%C3%A0.html?id=quartiereSantaMariaInterVigna,quarterio de Sancta Maria inter vigna,quartiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16 | id=statPop_libro1_rubrica23; url=https://statutiascoli.it/statuti.html?id=2_1_24
quartiereSanVenanzio,https://statutiascoli.it/citt%C3%A0.html?id=quartiereSanVenanzio,quarterio de Sancto Venantio,quartiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16 | id=statPop_libro1_rubrica23; url=https://statutiascoli.it/statuti.html?id=2_1_24 | id=statPop_libro3_rubrica68; url=https://statutiascoli.it/statuti.html?id=2_3_69
quartiereSanGiacomo,https://statutiascoli.it/citt%C3%A0.html?id=quartiereSanGiacomo,quarterio de Sancto Jacobo,quartiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16 | id=statPop_libro1_rubrica23; url=https://statutiascoli.it/statuti.html?id=2_1_24
sestierePediChiaviche,https://statutiascoli.it/citt%C3%A0.html?id=sestierePediChiaviche,sexterio de Pedi de le Chiaviche,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16 | id=statPop_libro3_rubrica76; url=https://statutiascoli.it/statuti.html?id=2_3_77
sestiereCapoChiaviche,https://statutiascoli.it/citt%C3%A0.html?id=sestiereCapoChiaviche,sexterio de Capo de le Chiaviche,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16 | id=statPop_libro3_rubrica76; url=https://statutiascoli.it/statuti.html?id=2_3_77 | id=statPop_libro4_rubrica5; url=https://statutiascoli.it/statuti.html?id=2_4_5
sestiereSanBiagio,https://statutiascoli.it/citt%C3%A0.html?id=sestiereSanBiagio,sexterio de Sancto Blaxio,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
sestiereCannera,https://statutiascoli.it/citt%C3%A0.html?id=sestiereCannera,sexterio de la Cannera,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
sestierePedeRinga,https://statutiascoli.it/citt%C3%A0.html?id=sestierePedeRinga,sexterio de Pede la ringa,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
sestierePiazza,https://statutiascoli.it/citt%C3%A0.html?id=sestierePiazza,sexterio de la Piaza,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
sestierePonteMaggiore,https://statutiascoli.it/citt%C3%A0.html?id=sestierePonteMaggiore,sexterio de Ponte majore,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
sestiereSanPietroAdamo,https://statutiascoli.it/citt%C3%A0.html?id=sestiereSanPietroAdamo,sexterio de Sancto Petro Adammo,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
sestiereSanCristoforo,https://statutiascoli.it/citt%C3%A0.html?id=sestiereSanCristoforo,sexterio de Sancto Christofaro,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
sestiereSantaMaria,https://statutiascoli.it/citt%C3%A0.html?id=sestiereSantaMaria,sexterio de Sancta Maria,sestiere,,,id=statCom_libro4_rubrica15; url=https://statutiascoli.it/statuti.html?id=1_4_16
